Región,Productos seleccionados,Unidad de medida,Período,Precio,Año,Mes,Orden_Periodo
Cuyo,Pollo entero,kg,Año 2017 - Junio,34.22,2017,Junio,201706.0
Cuyo,Aceite de girasol,"1,5 litros",Año 2017 - Junio,48.26,2017,Junio,201706.0
Cuyo,Leche fresca entera sachet,Litro,Año 2017 - Junio,23.22,2017,Junio,201706.0
Cuyo,Huevos de gallina,Docena,Año 2017 - Junio,35.84,2017,Junio,201706.0
Cuyo,Papa,kg,Año 2017 - Junio,13.01,2017,Junio,201706.0
Cuyo,Azúcar,kg,Año 2017 - Junio,17.86,2017,Junio,201706.0
Cuyo,Detergente líquido,750 cc,Año 2017 - Junio,21.91,2017,Junio,201706.0
Cuyo,Lavandina,1.000 cc,Año 2017 - Junio,14.23,2017,Junio,201706.0
Cuyo,Jabón de tocador,125 g,Año 2017 - Junio,14.21,2017,Junio,201706.0
Patagonia,Pan francés,kg,Año 2017 - Junio,38.43,2017,Junio,201706.0
Patagonia,Harina de trigo común,kg,Año 2017 - Junio,12.14,2017,Junio,201706.0
Patagonia,Arroz blanco simple,kg,Año 2017 - Junio,25.82,2017,Junio,201706.0
Patagonia,Fideos secos tipo guisero,500 g,Año 2017 - Junio,20.68,2017,Junio,201706.0
Patagonia,Carne picada común,kg,Año 2017 - Junio,91.12,2017,Junio,201706.0
Patagonia,Pollo entero,kg,Año 2017 - Junio,42.98,2017,Junio,201706.0
Patagonia,Aceite de girasol,"1,5 litros",Año 2017 - Junio,50.31,2017,Junio,201706.0
Patagonia,Leche fresca entera sachet,Litro,Año 2017 - Junio,23.82,2017,Junio,201706.0
Patagonia,Huevos de gallina,Docena,Año 2017 - Junio,43.34,2017,Junio,201706.0
Patagonia,Papa,kg,Año 2017 - Junio,19.44,2017,Junio,201706.0
Patagonia,Azúcar,kg,Año 2017 - Junio,21.34,2017,Junio,201706.0
Patagonia,Detergente líquido,750 cc,Año 2017 - Junio,34.48,2017,Junio,201706.0
Patagonia,Lavandina,1.000 cc,Año 2017 - Junio,16.2,2017,Junio,201706.0
Patagonia,Jabón de tocador,125 g,Año 2017 - Junio,15.09,2017,Junio,201706.0
GBA,Pan francés,kg,Año 2017 - Julio,39.12,2017,Julio,201707.0
GBA,Harina de trigo común,kg,Año 2017 - Julio,10.61,2017,Julio,201707.0
GBA,Arroz blanco simple,kg,Año 2017 - Julio,21.08,2017,Julio,201707.0
GBA,Fideos secos tipo guisero,500 g,Año 2017 - Julio,19.53,2017,Julio,201707.0
GBA,Carne picada común,kg,Año 2017 - Julio,72.71,2017,Julio,201707.0
GBA,Pollo entero,kg,Año 2017 - Julio,35.51,2017,Julio,201707.0
GBA,Aceite de girasol,"1,5 litros",Año 2017 - Julio,51.35,2017,Julio,201707.0
GBA,Leche fresca entera sachet,Litro,Año 2017 - Julio,21.53,2017,Julio,201707.0
GBA,Huevos de gallina,Docena,Año 2017 - Julio,33.54,2017,Julio,201707.0
GBA,Papa,kg,Año 2017 - Julio,14.48,2017,Julio,201707.0
GBA,Azúcar,kg,Año 2017 - Julio,19.37,2017,Julio,201707.0
GBA,Detergente líquido,750 cc,Año 2017 - Julio,19.84,2017,Julio,201707.0
GBA,Lavandina,1.000 cc,Año 2017 - Julio,15.62,2017,Julio,201707.0
GBA,Jabón de tocador,125 g,Año 2017 - Julio,14.12,2017,Julio,201707.0
Pampeana,Pan francés,kg,Año 2017 - Julio,31.93,2017,Julio,201707.0
Pampeana,Harina de trigo común,kg,Año 2017 - Julio,11.17,2017,Julio,201707.0
Pampeana,Arroz blanco simple,kg,Año 2017 - Julio,21.22,2017,Julio,201707.0
Pampeana,Fideos secos tipo guisero,500 g,Año 2017 - Julio,17.22,2017,Julio,201707.0
Pampeana,Carne picada común,kg,Año 2017 - Julio,77.33,2017,Julio,201707.0
Pampeana,Pollo entero,kg,Año 2017 - Julio,37.44,2017,Julio,201707.0
Pampeana,Aceite de girasol,"1,5 litros",Año 2017 - Julio,53.57,2017,Julio,201707.0
Pampeana,Leche fresca entera sachet,Litro,Año 2017 - Julio,23.42,2017,Julio,201707.0
Pampeana,Huevos de gallina,Docena,Año 2017 - Julio,33.05,2017,Julio,201707.0
Pampeana,Papa,kg,Año 2017 - Julio,13.93,2017,Julio,201707.0
Pampeana,Azúcar,kg,Año 2017 - Julio,18.94,2017,Julio,201707.0
Pampeana,Detergente líquido,750 cc,Año 2017 - Julio,22.2,2017,Julio,201707.0
Pampeana,Lavandina,1.000 cc,Año 2017 - Julio,14.59,2017,Julio,201707.0
Pampeana,Jabón de tocador,125 g,Año 2017 - Julio,14.45,2017,Julio,201707.0
Noreste,Pan francés,kg,Año 2017 - Julio,28.99,2017,Julio,201707.0
Noreste,Harina de trigo común,kg,Año 2017 - Julio,11.05,2017,Julio,201707.0
Noreste,Arroz blanco simple,kg,Año 2017 - Julio,20.32,2017,Julio,201707.0
Noreste,Fideos secos tipo guisero,500 g,Año 2017 - Julio,14.34,2017,Julio,201707.0
Noreste,Carne picada común,kg,Año 2017 - Julio,70.58,2017,Julio,201707.0
Noreste,Pollo entero,kg,Año 2017 - Julio,36.99,2017,Julio,201707.0
Noreste,Aceite de girasol,"1,5 litros",Año 2017 - Julio,51.05,2017,Julio,201707.0
Noreste,Leche fresca entera sachet,Litro,Año 2017 - Julio,23.27,2017,Julio,201707.0
Noreste,Huevos de gallina,Docena,Año 2017 - Julio,29.27,2017,Julio,201707.0
Noreste,Papa,kg,Año 2017 - Julio,12.56,2017,Julio,201707.0
Noreste,Azúcar,kg,Año 2017 - Julio,17.99,2017,Julio,201707.0
Noreste,Detergente líquido,750 cc,Año 2017 - Julio,20.53,2017,Julio,201707.0
Noreste,Lavandina,1.000 cc,Año 2017 - Julio,15.96,2017,Julio,201707.0
Noreste,Jabón de tocador,125 g,Año 2017 - Julio,14.21,2017,Julio,201707.0
